date,open,high,low,close,volume,barCount,wap,ema_20
2025-03-31 09:30:00-04:00,549.82,550.63,548.33,548.69,1809735,8874,549.611,548.69
2025-03-31 09:35:00-04:00,548.68,549.66,548.55,549.01,1197036,7706,549.029,548.7204761904762
2025-03-31 09:40:00-04:00,549.02,549.14,547.38,547.42,815869,5179,548.062,548.5966213151928
2025-03-31 09:45:00-04:00,547.42,547.86,546.87,547.7,1166913,7442,547.407,548.511228808984
2025-03-31 09:50:00-04:00,547.64,549.42,547.31,549.31,981155,5901,548.513,548.5873022557474
2025-03-31 09:55:00-04:00,549.3,550.54,549.16,549.74,757859,4359,549.912,548.6970829932953
2025-03-31 10:00:00-04:00,549.75,551.18,549.64,550.48,749581,4361,550.619,548.8668846129815
2025-03-31 10:05:00-04:00,550.48,551.59,550.32,551.37,589674,3044,550.876,549.1052765546023
2025-03-31 10:10:00-04:00,551.38,551.42,550.33,550.91,402662,2245,550.878,549.2771549779735
2025-03-31 10:15:00-04:00,550.88,551.1,549.69,549.77,492517,2701,550.236,549.3240925991189
2025-03-31 10:20:00-04:00,549.79,550.21,549.49,549.77,502770,3051,549.815,549.3665599706313
2025-03-31 10:25:00-04:00,549.73,549.96,549.43,549.51,460056,2297,549.672,549.3802209258093
2025-03-31 10:30:00-04:00,549.55,551.83,549.49,551.73,750950,4467,550.779,549.6040094090656
2025-03-31 10:35:00-04:00,551.72,551.92,550.67,551.33,388435,2387,551.324,549.7683894653451
2025-03-31 10:40:00-04:00,551.28,551.71,550.57,550.87,303904,1745,551.079,549.8733047543599
2025-03-31 10:45:00-04:00,550.86,551.98,550.8,551.62,306733,1849,551.443,550.0396566825161
2025-03-31 10:50:00-04:00,551.6,551.8,550.63,551.48,394558,2297,551.272,550.1768322365622
2025-03-31 10:55:00-04:00,551.51,551.68,551.07,551.6,312458,1686,551.386,550.3123720235562
2025-03-31 11:00:00-04:00,551.61,552.27,551.56,552.08,655288,3333,552.023,550.4807175451223
2025-03-31 11:05:00-04:00,552.07,552.6,551.57,551.63,406678,2177,552.114,550.5901730170153
2025-03-31 11:10:00-04:00,551.63,552.35,551.33,551.42,283686,1685,551.761,550.669204158252
2025-03-31 11:15:00-04:00,551.43,552.31,551.23,552.13,294321,1670,551.901,550.8083275717518
2025-03-31 11:20:00-04:00,552.19,553.31,552.16,553.16,407332,1763,552.776,551.032296374442
2025-03-31 11:25:00-04:00,553.16,553.47,552.43,552.53,380345,2121,553.019,551.1749348149714
2025-03-31 11:30:00-04:00,552.51,552.85,552.09,552.74,271158,1650,552.441,551.323988642117
2025-03-31 11:35:00-04:00,552.75,553.61,552.63,553.43,313677,1867,553.192,551.5245611523916
2025-03-31 11:40:00-04:00,553.45,553.83,553.08,553.25,413191,2482,553.457,551.6888886616877
2025-03-31 11:45:00-04:00,553.25,553.91,553.2,553.88,172807,1054,553.622,551.8975659320031
2025-03-31 11:50:00-04:00,553.87,554.12,553.62,553.92,366498,1978,553.874,552.0901787003837
2025-03-31 11:55:00-04:00,553.89,553.95,553.13,553.32,255593,1328,553.478,552.2073045384424
2025-03-31 12:00:00-04:00,553.32,553.84,553.25,553.6,214816,1202,553.512,552.3399422014479
2025-03-31 12:05:00-04:00,553.58,553.65,552.53,552.65,301545,1719,552.964,552.3694715155957
2025-03-31 12:10:00-04:00,552.66,552.68,551.91,552.48,344345,1887,552.281,552.3799980379199
2025-03-31 12:15:00-04:00,552.44,553.46,552.25,553.36,221004,1365,552.834,552.473331558118
2025-03-31 12:20:00-04:00,553.38,553.38,552.83,553.21,119373,711,553.117,552.5434904573449
2025-03-31 12:25:00-04:00,553.2,554.59,553.18,554.56,240579,1356,554.002,552.7355389852167
2025-03-31 12:30:00-04:00,554.55,554.55,553.73,554.29,294834,1500,554.248,552.8835828913866
2025-03-31 12:35:00-04:00,554.29,554.39,553.88,554.32,165723,1020,554.108,553.0203845207784
2025-03-31 12:40:00-04:00,554.34,554.44,553.8,553.93,155443,850,554.183,553.1070145664186
2025-03-31 12:45:00-04:00,553.95,554.33,553.77,554.05,157951,989,553.954,553.1968227029502
2025-03-31 12:50:00-04:00,554.03,554.46,553.85,554.36,230913,1155,554.196,553.3076014931454
2025-03-31 12:55:00-04:00,554.36,554.36,553.12,553.33,283704,1481,553.55,553.3097346842744
2025-03-31 13:00:00-04:00,553.26,553.97,553.02,553.92,329738,1629,553.509,553.367855190534
2025-03-31 13:05:00-04:00,553.92,554.86,553.67,554.83,278455,1567,554.42,553.5071070771498
2025-03-31 13:10:00-04:00,554.84,555.16,554.54,554.81,329131,1657,554.849,553.6311921174213
2025-03-31 13:15:00-04:00,554.81,554.86,553.48,553.53,458755,2151,554.124,553.6215547729049
2025-03-31 13:20:00-04:00,553.5,553.59,552.82,553.3,351033,1706,553.237,553.5909305088187
2025-03-31 13:25:00-04:00,553.26,553.68,552.97,553.64,241616,1179,553.323,553.5956037936932
2025-03-31 13:30:00-04:00,553.63,553.76,553.33,553.71,166815,762,553.522,553.6064986704843
2025-03-31 13:35:00-04:00,553.71,554.21,553.33,554.06,225853,1113,553.824,553.6496892732953
2025-03-31 13:40:00-04:00,554.07,554.07,552.94,553.02,190589,978,553.398,553.5897188663148
2025-03-31 13:45:00-04:00,553.01,553.17,552.71,553.15,227258,1139,552.964,553.5478408790467
2025-03-31 13:50:00-04:00,553.14,554.13,552.92,554.01,199197,1212,553.593,553.5918560334233
2025-03-31 13:55:00-04:00,554.0,554.02,553.08,553.16,200573,1178,553.463,553.5507268873829
2025-03-31 14:00:00-04:00,553.15,554.72,553.02,554.65,740584,2910,554.246,553.655419564775
2025-03-31 14:05:00-04:00,554.67,556.25,554.49,556.19,809095,3993,555.286,553.8968081776536
2025-03-31 14:10:00-04:00,556.22,556.95,556.1,556.12,1298398,5787,556.554,554.1085407321627
2025-03-31 14:15:00-04:00,556.12,556.84,555.73,556.82,721406,3440,556.333,554.3667749481473
2025-03-31 14:20:00-04:00,556.82,556.94,556.23,556.38,703981,3685,556.495,554.5585106673714
2025-03-31 14:25:00-04:00,556.38,556.96,556.25,556.95,519895,2632,556.499,554.7862715561931
2025-03-31 14:30:00-04:00,556.93,557.53,556.74,557.27,613128,3382,557.245,555.02281712227
2025-03-31 14:35:00-04:00,557.25,557.69,557.1,557.49,604073,3141,557.408,555.2577869201491
2025-03-31 14:40:00-04:00,557.48,557.95,557.28,557.35,491108,2948,557.662,555.4570453087064
2025-03-31 14:45:00-04:00,557.36,557.47,556.26,556.99,907127,4901,556.667,555.6030409935914
2025-03-31 14:50:00-04:00,556.95,557.87,556.88,557.57,542615,3176,557.454,555.7903704227732
2025-03-31 14:55:00-04:00,557.51,557.51,556.38,556.39,676945,3388,556.911,555.8474780015567
2025-03-31 15:00:00-04:00,556.39,557.53,556.36,557.5,605170,3344,557.172,556.0048610490276
2025-03-31 15:05:00-04:00,557.51,558.0,557.4,557.78,926217,4787,557.724,556.1739219015011
2025-03-31 15:10:00-04:00,557.79,558.93,557.65,558.51,887305,5146,558.332,556.3964055299296
2025-03-31 15:15:00-04:00,558.51,558.81,558.09,558.36,902273,5057,558.45,556.5834145270791
2025-03-31 15:20:00-04:00,558.39,559.19,558.34,558.78,1094620,6367,558.85,556.7926131435478
2025-03-31 15:25:00-04:00,558.77,558.78,557.21,557.41,1136337,6254,557.978,556.8514118917814
2025-03-31 15:30:00-04:00,557.39,558.92,557.13,558.87,1156099,6159,557.981,557.0436583782783
2025-03-31 15:35:00-04:00,558.88,559.09,558.2,558.67,1294367,6882,558.598,557.1985480565376
2025-03-31 15:40:00-04:00,558.68,560.72,558.68,559.42,1748333,9658,559.805,557.4101149082959
2025-03-31 15:45:00-04:00,559.39,559.78,558.67,558.98,1302618,7768,559.231,557.5596277741724
2025-03-31 15:50:00-04:00,559.02,560.0,557.84,559.37,3027853,15630,558.848,557.7320441766323
2025-03-31 15:55:00-04:00,559.38,560.06,558.38,559.21,5510640,24683,559.253,557.8728018740959
